GeneID,GeneName,IsCoding,log2FoldChange,stat,pvalue,padj,MDA-Enza_1,MDA-Enza_2,MDA-Enza_3,MDA-DMSO_1,MDA-DMSO_2,MDA-DMSO_3
ENSG00000140285,FGF7,TRUE,-0.684301805,-0.79776056,0.425009453,0.508034119,3.761406397,2.555482968,9.775238683,11.38375427,6.031370775,7.683279054
ENSG00000188660,LINC00319,FALSE,0.373315551,0.796742194,0.425600774,0.508712913,21.62808678,30.66579562,25.66000154,28.97682906,16.0836554,15.36655811
ENSG00000183831,ANKRD45,TRUE,0.301277299,0.796126903,0.425958279,0.509104519,35.73336077,34.9249339,34.21333539,31.04660256,31.16208234,23.04983716
ENSG00000263829,FAM60BP,FALSE,-0.440195547,-0.796097525,0.425975352,0.509104519,18.80703199,11.07375953,15.88476286,25.8721688,10.05228462,25.93106681
ENSG00000249006,RP11-317B7.2,FALSE,0.840636126,0.795949297,0.426061506,0.509179424,2.821054798,2.555482968,14.66285802,2.069773504,3.015685387,5.762459291
ENSG00000121964,GTDC1,TRUE,0.054137967,0.795708078,0.426201731,0.509302336,2403.538688,2365.525401,2608.766824,2384.379077,2331.124804,2384.697736
ENSG00000183765,CHEK2,TRUE,-0.066579002,-0.795691575,0.426211325,0.509302336,1259.130792,1311.81459,1144.924831,1254.282743,1288.702889,1353.217523
ENSG00000176340,COX8A,TRUE,0.057660621,0.795510304,0.42631672,0.509400209,2224.871884,2361.266262,2284.962042,2350.227814,2079.817689,2173.407562
ENSG00000233695,GAS6-AS1,FALSE,0.13416382,0.794933475,0.426652201,0.509772982,199.3545391,183.9947737,215.055251,159.3725598,199.0352356,185.3591072
ENSG00000146576,C7orf26,TRUE,0.049975439,0.794847699,0.426702101,0.509804515,2472.184355,2516.298896,2564.77825,2448.542055,2377.365314,2468.253396
ENSG00000261788,RP11-480G7.1,FALSE,-0.642159085,-0.793736249,0.427348993,0.510549265,14.10527399,2.555482968,3.665714506,11.38375427,8.0418277,12.48532846
ENSG00000129214,SHBG,TRUE,-0.257022917,-0.792995411,0.427780497,0.511036625,38.55441557,47.70234874,34.21333539,48.63967734,46.24050927,49.94131385
ENSG00000255794,RMST,FALSE,-0.477700538,-0.792889569,0.427842165,0.511082142,14.10527399,21.2956914,4.887619342,20.69773504,24.1254831,12.48532846
ENSG00000259894,RP11-697E2.4,FALSE,0.417110484,0.79217433,0.428259034,0.511516119,15.04562559,17.88838078,32.99143056,11.38375427,18.09411232,19.20819764
ENSG00000166507,NDST2,TRUE,0.234017466,0.792146811,0.428275078,0.511516119,57.36144756,50.25783171,70.87048045,47.60479059,53.27710851,49.94131385
ENSG00000204519,ZNF551,TRUE,-0.069387785,-0.792144847,0.428276223,0.511516119,1299.56591,1576.732991,1418.631514,1555.434788,1497.790409,1455.981381
ENSG00000214135,AC024560.3,FALSE,-0.059994733,-0.79206721,0.428321488,0.511542009,1367.271225,1309.259107,1320.879127,1332.934137,1441.497615,1392.594329
ENSG00000152926,ZNF117,TRUE,-0.079517049,-0.792008277,0.42835585,0.511554875,1284.520285,1095.450366,1003.18387,1176.666237,1259.551263,1142.887759
ENSG00000225235,DDX26B-AS1,FALSE,-0.54802457,-0.791794703,0.428480392,0.51167126,4.701757997,12.77741484,8.553333848,17.59307478,13.06797001,7.683279054
ENSG00000233045,AC097523.1,FALSE,-0.781369661,-0.79176023,0.428500496,0.51167126,1.880703199,4.25913828,4.887619342,4.139547008,4.02091385,10.5645087
ENSG00000271991,RP11-79O8.1,FALSE,-0.457652825,-0.791371605,0.428727175,0.511913749,20.68773519,7.666448904,12.21904835,14.48841453,16.0836554,24.97065693
ENSG00000269175,AC093157.1,TRUE,-0.510316026,-0.790637544,0.429155531,0.512371518,5.642109596,11.92558718,12.21904835,17.59307478,16.0836554,8.643688936
ENSG00000168090,COPS6,TRUE,-0.055288264,-0.790633642,0.429157809,0.512371518,10085.2709,10616.32808,10033.0606,11675.59234,9862.296445,10401.23902
ENSG00000181031,RPH3AL,TRUE,0.058216347,0.790285779,0.42936089,0.512585756,1442.499353,1479.624639,1556.70676,1434.353038,1454.565585,1409.881706
ENSG00000260236,RP11-708J19.1,FALSE,-0.164134772,-0.789963486,0.429549093,0.51278221,141.9930915,128.6259761,157.6257238,149.0236923,200.040464,129.655334
ENSG00000174989,FBXW8,TRUE,0.050940471,0.789913984,0.429578004,0.512788495,3900.578434,4017.219226,3847.778327,3855.988038,3947.532172,3557.358202
ENSG00000156050,FAM161B,TRUE,0.072498759,0.78967466,0.429717794,0.512927129,836.9129234,846.7166901,824.7857639,852.7466836,787.0938861,747.198888
ENSG00000272918,CTB-152G17.6,FALSE,0.501997704,0.789608025,0.42975672,0.51294536,13.16492239,13.6292425,29.32571605,10.34886752,23.12025464,5.762459291
ENSG00000135093,USP30,TRUE,0.051956534,0.789560803,0.429784307,0.512950055,2950.823319,2990.7669,2853.147791,2840.764134,2956.376908,2690.108079
ENSG00000121848,RNF115,TRUE,-0.043261793,-0.789452408,0.429847635,0.512997404,6810.026282,6841.027905,6879.324223,7321.82377,6983.322129,6850.603687
ENSG00000268423,AC011551.3,TRUE,-0.577116347,-0.789223408,0.429981443,0.513128856,10.34386759,8.51827656,9.775238683,28.97682906,9.047056162,4.802049409
ENSG00000171295,ZNF440,TRUE,-0.046507889,-0.78903871,0.430089382,0.513229425,3715.329169,3876.667663,3802.567848,3984.313995,3981.70994,3803.223132
ENSG00000089820,ARHGAP4,TRUE,-0.354994009,-0.788934822,0.430150102,0.513249266,41.37547037,33.22127858,21.99428704,18.62796154,62.32416467,43.21844468
ENSG00000172746,RP11-344H11.4,FALSE,0.908494743,0.788893486,0.430174263,0.513249266,2.821054798,9.370104216,2.443809671,1.034886752,3.015685387,3.841639527
ENSG00000145012,LPP,TRUE,0.079188374,0.788888785,0.430177011,0.513249266,36133.95056,39948.16158,44656.95602,32099.08239,43888.27467,38298.26486
ENSG00000260545,CTB-134F13.1,FALSE,0.9815421,0.788622458,0.430332701,0.513406775,3.761406397,7.666448904,10.99714352,11.38375427,0,0
ENSG00000197734,C14orf178,TRUE,0.687713177,0.788374628,0.430477607,0.513551402,3.761406397,16.18472546,10.99714352,13.45352778,3.015685387,2.881229645
